Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
432081,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental Iberoamérica 2018 cultura Programa Ibermuseos Segib,
432080,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental Iberoamérica 2018 cultura Ibermedia CACI,
432079,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental 2018 Iberoamérica culura Iberescena espacio escénico OEI,
432078,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental Cooperación España - OMS 2018,
432077,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental ARAUCLIMA Perú Ecuador 2018 Rural FAO Agricultura resiliente,
432076,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental Ecuador, 2018, IKIAM, Investigación de Excelencia, Posgrado e Igualdad,
432075,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental 2018 Ecuador Fortalec.Investigac.para Mejorar productividad y calidad naranjilla y tomate de arbol,
432074,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental Marruecos 2018 Educación Ministerio Educación FP a distancia,
432073,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental Marruecos 2018 Crecimiento ANPME Consolidación de los CTI,
432072,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental Masar Túnez 2018 Gobernabilidad MDI Empleo Juvenil Jóvenes,
432071,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental 2018 Cabo Verde INEstadistica,
432070,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental 2018 Filipinas Justicia Transicional,
432069,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental Masar Túnez 2018 Género AFTURD Participación política Mujer,
432068,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental cabo verde 2018 salud enfermedades olvidadas,
432067,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental Filipinas 2018 Educación Escuela Taller,
432066,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental Cabo Verde 2018 aguas residuales,
432065,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental Guatemala 2018 Agricultura FAO,
432064,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental cabo verde 2018 autoempleo jovenes mujeres,
432063,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental Marruecos 2018 Educación ENTRAIDE NATIONALE Proyecto UE Apoyo Integración Población Migrante,
432062,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental Marruecos 2018 Educación CIDEAL Maroc Proyecto UE Apoyo Integración Población Migrante,
432061,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental Marruecos 2018 Educación ACODEC Proyecto UE Kafaat LilJamia,
432060,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental Marruecos 2018 DDHH CNDH Proyecto UE Convivir sin discriminación,
432059,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental Palestina 2018 Gobernabilidad Mº Asuntos Exteriores AP Formación diplomáticos,
432058,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental Marruecos 2018 DDHH MDCMREAM Proyecto UE Convivir sin discriminación,
431799,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,INSTITUTO PARA LA TRANSICIÓN JUSTA, O.A.,27/12/2018,Resolución del IRMC por la que se convocan las ayudas dirigidas a pequeños proyectos de inversión generadores de empleo, que promuevan el desarrollo alternativo de las comarcas mineras, para el ejercicio 2018,
431791,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,INSTITUTO PARA LA DIVERSIFICACIÓN Y AHORRO DE LA ENERGÍA (IDAE),27/12/2018,Primera Convocatoria de Ayudas a la inversión en instalaciones de producción de energía eléctrica de tecnología eólica situadas en Canarias cofinanciadas con Fondos Comunitarios FEDER,
431752,NO,ESTADO,MINISTERIO DEL INTERIOR,SUBDIRECCIÓN GENERAL DE GESTIÓN ECONÓMICA Y PATRIMONIAL,27/12/2018,Convenio entre el Ministerio del Interior (SES) y Fundación ANAR (ayuda a niños y adolescentes en riesgo),
431746,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,INSTITUTO PARA LA TRANSICIÓN JUSTA, O.A.,27/12/2018,Resolución del IRMC por la que se convocan las ayudas dirigidas a proyectos empresariales generadores de empleo que promuevan el desarrollo alternativo de las zonas mineras, para el ejercicio 2018.,
431745,NO,ESTADO,MINISTERIO DEL INTERIOR,SECRETARÍA GENERAL DE INSTITUCIONES PENITENCIARIAS,27/12/2018,Orden del Ministro del Interior de Concesión de Subvención a la Universidad Nacional de Educación a Distancia,
431739,NO,ESTADO,MINISTERIO DEL INTERIOR,SUBDIRECCIÓN GENERAL DE GESTIÓN ECONÓMICA Y PATRIMONIAL,27/12/2018,Convenio entre el Ministerio del Interior (SES) y Cruz Roja Española, para la prestación de asistencia social y humanitaria en los Centros de Internamiento de Extranjeros,
431686,NO,ESTADO,MINISTERIO DEL INTERIOR,SECRETARÍA GENERAL DE INSTITUCIONES PENITENCIARIAS,27/12/2018,Resolución relativa a la transferencia corriente a la Conferencia Episcopal Española para la atención al culto en Centros Penitenciarios,
431679,NO,ESTADO,MINISTERIO DEL INTERIOR,SECRETARÍA GENERAL DE INSTITUCIONES PENITENCIARIAS,27/12/2018,Orden del Ministro del Interior de Concesión de Subvención a la Comisión Islámica de España,
431672,NO,ESTADO,MINISTERIO DEL INTERIOR,SECRETARÍA GENERAL DE INSTITUCIONES PENITENCIARIAS,27/12/2018,Orden del Ministro del Interior de Concesión de Subvención a Caritas Española,
431669,NO,ESTADO,MINISTERIO DEL INTERIOR,SECRETARÍA GENERAL DE INSTITUCIONES PENITENCIARIAS,27/12/2018,Orden del Ministro del Interior de Concesión de Subvención a Cruz Roja Española,
431617,NO,ESTADO,MINISTERIO DE VIVIENDA Y AGENDA URBANA,DIRECCIÓN GENERAL DE AGENDA URBANA Y ARQUITECTURA,27/12/2018,CONVENIO DE COLABORACIÓN ENTRE EL MINISTERIO DE FOMENTO Y LA FUNDACIÓN ARQUITECTURA Y SOCIEDAD PARA LA DIFUSIÓN DE LA ARQUITECTURA,
431613,NO,ESTADO,MINISTERIO DE VIVIENDA Y AGENDA URBANA,DIRECCIÓN GENERAL DE AGENDA URBANA Y ARQUITECTURA,27/12/2018,CONVENIO FUNDACIÓN ALEJANDRO DE LA SOTA,
431406,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,26/12/2018,Resolución de 21 de diciembre de 2018, de ICEX ESPAÑA EXPORTACIÓN E INVERSIONES por la que se convocan ayudas dinerarias sin contraprestación a las Asociaciones y Federaciones de exportadores o similares que estén reconocidas como Entidades Colaboradoras,
431287,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA,26/12/2018,SUBVENCIÓN NOMINATIVA AL COLEGIO HISPANO-ARGENTINO PARQUE DE ESPAÑA DE ROSARIO (ARGENTINA) - LPGE 18,
431271,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA,26/12/2018,SUBVENCIÓN NOMINATIVA A LA ORGANIZACIÓN DE ESTADOS IBEROAMERICANOS - LPGE 2018,
431070,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,DIRECCIÓN GENERAL DE POLÍTICA ENERGÉTICA Y MINAS,21/12/2018,Convenio entre el Ministerio para la Transición Ecológica, SEE y el Ayuntamiento de Santa Lucía. Subvención nominativa en los PGE, cuyo objeto es la instalación de sistemas de energía solar  en colegios e instalalciones municipales,
431027,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,DIRECCIÓN GENERAL DE POLÍTICA ENERGÉTICA Y MINAS,21/12/2018,Convenio entre el Ministerio para la Transición Ecológica, SEE y el Ayuntamiento de tÍAS. Subvención nominativa en los PGE, cuyo objeto es la adquisción de vehículos eléctricos e instalación de puntos de recarga.,
430992,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,DIRECCIÓN GENERAL DE POLÍTICA ENERGÉTICA Y MINAS,21/12/2018,Convenio entre el Ministerio para la Transición Ecológica, SEE y el Ayuntamiento de  Puerto del Rosario. Subvención nominativa en los PGE, cuyo objeto es la adquisción de vehículos eléctricos e instalación de puntos de recarga.,
430924,NO,ESTADO,MINISTERIO DEL INTERIOR,D.G. DE PROTECCIÓN CIVIL Y EMERGENCIAS,21/12/2018,Convocatoria subvenciones destinadas a entidades locales adscritas a los Planes de Emergencia Nuclear,
430901,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,SERVICIO PÚBLICO DE EMPLEO ESTATAL,21/12/2018,Convenio entre el Servicio Público de Empleo Estatal y el Ministerio de Defensa para la formación profesional para el empleo de los militares de tropa y marinería que mantienen una relación de carácter temporal con las Fuerzas Armadas.,
430650,NO,ESTADO,MINISTERIO DE JUVENTUD E INFANCIA,INSTITUTO DE LA JUVENTUD,20/12/2018,RESOLUCIÓN DE 20 DE DICIEMBRE DE 2018, DEL INSTITUTO DE LA JUVENTUD, POR LA QUE SE CONVOCAN MEDIANTE TRAMITACIÓN ANTICIPADA LAS SUBVENCIONES EN EL MARCO DEL PROGRAMA CUERPO EUROPEO DE SOLIDARIDAD PARA EL AÑO 2019,
430641,NO,ESTADO,MINISTERIO DE JUVENTUD E INFANCIA,INSTITUTO DE LA JUVENTUD,20/12/2018,RESOLUCIÓN DE 20 DE DICIEMBRE DE 2018, DEL INSTITUTO DE LA JUVENTUD, POR LA QUE SE CONVOCAN MEDIANTE TRAMITACIÓN ANTICIPADA LAS SUBVENCIONES EN EL MARCO DEL CAPÍTULO DE JUVENTUD DEL PROGRAMA ERASMUS+ PARA EL AÑO 2019,
430632,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,SECRETARÍA GENERAL DE UNIVERSIDADES,20/12/2018,Convocatoria de ayudas para contratos predoctorales del Programa Salvador de Madariaga en el Instituto Universitario Europeo 2019,
430572,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA,20/12/2018,Concesión directa de subvenciones por razones de interés público para la participación en las ediciones supranacionales de las Olimpiadas Científicas durante el año 2018 de estudiantes en,
430421,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE DERECHOS CULTURALES,20/12/2018,Subvención nominatiava al Consorcio Centro Federico García Lorca para sus actividades. Ley PGE 2018, transformada en una tranferencia dineraria,
430356,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,DIRECCIÓN PROVINCIAL DEL SEPE DE CEUTA,20/12/2018,SUBVENCIONES PARA AUTONOMOS,
430023,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES,19/12/2018,Subvención nominativa al Consorcio de la Ciudad Monumental, Histórico-Artística y Arqueológica de Mérida para actuaciones arqueológicas (PGE 2018),
430004,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES,19/12/2018,Subvención nominativa a la Real Academia de Gastronomía (PGE 2018),
429981,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES,19/12/2018,Subvención nominativa a la Fundación Valle Salado de Añana (PGE 2018),
429971,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES,19/12/2018,Subvención nominativa concedida al Ayuntamiento de Ibiza para gastos de funcionamiento del Museo Puget (PGE 2018),
429733,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,DIRECCIÓN GENERAL DE POLÍTICA ENERGÉTICA Y MINAS,18/12/2018,Convenio entre el Ministerio para la Transición Ecológica, SEE y el Ayuntamiento de San Bartolome. Subvención nominativa en los PGE, cuyo objeto es la adquisción de vehículos eléctricos e instalación de puntos de recarga.,
