Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
414602,NO,ESTADO,MINISTERIO DE IGUALDAD,INSTITUTO DE LAS MUJERES,11/09/2018,Programa Sara 2018-2019. Convenio con la FSG (Fundación Secretariado Gitano) 484.03,
414592,NO,ESTADO,MINISTERIO DE IGUALDAD,INSTITUTO DE LAS MUJERES,11/09/2018,Programa Sara 2018-2019. Convenio con CEPAIM (Acción Integral con Migrantes) 484.02,
414586,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,SECRETARÍA GENERAL DE FORMACIÓN PROFESIONAL,11/09/2018,Convocatoria de subvenciones para el desarrollo de otros programas formativos que incluyan módulos profesionales de un título de Formación Profesional Básica para el ejercicio 2018, adaptados a colectivos con necesidades específicas. Ceuta y Melilla,
414579,NO,ESTADO,MINISTERIO DE IGUALDAD,INSTITUTO DE LAS MUJERES,11/09/2018,Programa Sara 2018-2019. Convenio con la Cruz Roja 484.01,
414496,NO,ESTADO,MINISTERIO DE IGUALDAD,INSTITUTO DE LAS MUJERES,10/09/2018,Resolución de 7 de septiembre de 2018,  de la Directora del Instituto de la Mujer y para la Igualdad de Oportunidades, por la que se convoca la segunda edición de los  Premios  LILÍ ALVAREZ.,
414380,NO,ESTADO,MINISTERIO DE CULTURA,MUSEO NACIONAL CENTRO DE ARTE REINA SOFÍA,07/09/2018,Resolución de 6 de septiembre de 2018, del Museo Nacional Centro de Arte Reina Sofía, por la que se convocan becas de investigación, coordinación-formación y formación en materias y actividades competencia de este organismo para el año 2018,
414370,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,07/09/2018,AYUDAS PARA INSERCIÓN LABORAL,
414364,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,07/09/2018,AYUDAS PARA INSERCIÓN LABORAL,
414361,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,07/09/2018,AYUDAS PARA INSERCIÓN LABORAL,
414360,NO,ESTADO,MINISTERIO DEL INTERIOR,SUBDIRECCIÓN GENERAL DE GESTIÓN ECONÓMICA Y PATRIMONIAL,07/09/2018,Ayuda directa a Mauritania (2º semestre), cooperación policial, R.D 732/2007, de 8 de junio,
414262,NO,ESTADO,MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN,SECRETARÍA GENERAL DE PESCA,06/09/2018,Convocatoria de ayudas al fomento del asociacionismo a entidades asociativas representativas del sector pesquero,
414164,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,CONSEJO SUPERIOR DE DEPORTES,06/09/2018,Resolución de Convocatoria de la Presidencia del Consejo Superior de Deportes por la que se regula la concesión de préstamos a Federaciones Deportivas Españolas en el año en curso (2018),
414074,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,05/09/2018,CONVOCATORIA DE BECAS 2013-2014,
414035,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE DERECHOS CULTURALES,05/09/2018,Orden del Ministerio de Cultura y Deporte, por la que se convocan las ayudas para desplazamientos culturales a / desde la península o entre territorios extrapeninsulares, correspondientes al año 2018.,
413958,NO,ESTADO,MINISTERIO DE INDUSTRIA Y TURISMO,OFICINA ESPAÑOLA DE PATENTES Y MARCAS, O.A.,05/09/2018,Subvención Nominativa a Fundación Foro de Marcas Renombradas Españolas segón la Ley de PGE,
413910,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,04/09/2018,CONVOCATORIA DE BECAS 2012-2013,
413908,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES,04/09/2018,Ayudas a proyectos arqueológicos en el exterior correspondientes a 2018,
413836,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,04/09/2018,CONVOCATORIA DE BECAS 2011/2012,
413823,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,04/09/2018,Concurso Nacional de Buenas Prácticas para Centros Docentes,
413817,NO,ESTADO,MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030,REAL PATRONATO SOBRE DISCAPACIDAD,04/09/2018,Subvención nominativa a favor de la Fundación Eguía-Careaga para el Centro Español de Documentación sobre Discapacidad,
413815,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,04/09/2018,CONVOCATORIA DE BECAS DE FORMACION Y PERFECCIONAMIENTO  AMBIENTAL  2010-2011,
413728,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,CONSEJO ECONÓMICO Y SOCIAL,03/09/2018,RESOLUCION DEL PRESIDENTE DEL CONSEJO ECONOMICO Y SOCIAL POR LA QUE SE ESTABLECEN LAS NORMAS REGULADORAS PARA LA CONCESION DE COMPENSACIONES ESTABLECIDAS EN EL CONCEPTO 485 DEL PRESUPUESTO DE GASTOS DEL CES PARA EL AÑO 2018,
413684,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE DERECHOS CULTURALES,03/09/2018,Orden Ministerial del Ministerio de Cultura y Deporte  de 3 deseotiembre de 2018, por la que se convocan las ayudas del Programa IBEREX de prácticas formativas para profesionales iberoamericanos del sector cultural 2018,
413682,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,INSTITUTO DE SALUD CARLOS III (ISCIII),03/09/2018,RESOLUCIÓN DE 18 DE JULIO DE 2018  DEL INSTITUTO DE SALUD CARLOS III, O.A.,M.P. POR LA QUE SE CONCEDE A LA FUNDACIÓN CENTRE DE REGULACIÓ GENÓMICA (CRG) UNA SUBVENCIÓN PREVISTA NOMINATIVAMENTE EN LOS PRESUPUESTOS GENERALES DEL ESTADO PARA EL AÑO 2018, APLI,
413680,NO,ESTADO,MINISTERIO DEL INTERIOR,DIRECCIÓN GENERAL DE LA POLICÍA,03/09/2018,Resolución de 29 de agosto de 2018 de la Dirección General de la Policía por la que se convoca la concesión de subvenciones a las Organizaciones Sindicales de la Policía Nacional con representación en el Consejo de Policía para el ejercicio 2018.,
413679,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,INSTITUTO DE SALUD CARLOS III (ISCIII),03/09/2018,RESOLUCIÓN DE 18 DE JULIO DE 2018, DEL INSTITUTO DE SALUD CARLOS III, O.A.,M.P., POR LA QUE SE CONCEDE A LA ASOCIACIÓN PARA EL REGISTRO Y ESTUDIO DE MALFORMACIONES CONGÉNITAS (ASEREMAC) UNA SUBVENCIÓN PREVISTA NOMINATIVAMENTE EN EL ESTADO DE GASTOS DEL PR,
413675,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,03/09/2018,CONVOCATORIA DE BECAS DE FORMACIÓN Y PERFECCIONAMIENTO AMBIENTAL 2009-2010,
413672,NO,ESTADO,MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030,REAL PATRONATO SOBRE DISCAPACIDAD,03/09/2018,Premio Reina Letizia 2018 de Tecnologías de la Accesibilidad,
413574,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DEL LIBRO, DEL CÓMIC Y DE LA LECTURA,31/08/2018,Orden por la que se convocan subvenciones, en régimen de concurrencia competitiva, para la modernización de las librerías,
413519,NO,ESTADO,MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN,DIRECCIÓN GENERAL DE ALIMENTACIÓN,31/08/2018,CONVENIO ENTRE EL MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN Y LA FEDERACIÓN ESPAÑOLA DE INDUSTRIAS DE LA ALIMENTACIÓN Y BEBIDAS (FIAB), DE CONCESIÓN DE UNA SUBVENCION PREVISTA NOMINATIVAMENTE EN LOS PRESUPUESTOS GENERALES DEL ESTADO PARA EL AÑO 2018,
413516,NO,ESTADO,MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN,DIRECCIÓN GENERAL DE ALIMENTACIÓN,31/08/2018,CONVENIO ENTRE EL MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN  Y COOPERATIVAS AGROALIMENTARIAS DE ESPAÑA, U. DE COOP., DE CONCESIÓN DE SUBVENCIONES PREVISTAS NOMINATIVAMENTE EN LOS PRESUPUESTOS GENERALES DEL ESTADO PARA EL AÑO 2018,
413513,NO,ESTADO,MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN,DIRECCIÓN GENERAL DE ALIMENTACIÓN,31/08/2018,CONVENIO ENTRE EL MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN  Y COOPERATIVAS AGROALIMENTARIAS DE ESPAÑA, U. DE COOP., DE CONCESIÓN DE SUBVENCIONES PREVISTAS NOMINATIVAMENTE EN LOS PRESUPUESTOS GENERALES DEL ESTADO PARA EL AÑO 2018,
413492,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,30/08/2018,CONVOCATORIA DE BECAS DE FORMACIÓN Y PERFECCIONAMIENTO AMBIENTAL  2008-2009,
413455,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,30/08/2018,CONVOCATORIA DE BECAS DE FORMACIÓN Y PERFECCIONAMIENTO AMBIENTAL PARA EL AÑO 2007-2008,
413352,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE DERECHOS CULTURALES,29/08/2018,ORDEN MINISTERIAL del Ministerio de Cultura y Deporte, de 29 de agosto de 2018, por la que se convocan las ayudas del Programa IBEREX de prácticas formativas para profesionales iberoamericanos del sector cultural correspondientes al año 2018,
413333,NO,ESTADO,MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030,INSTITUTO DE MAYORES Y SERVICIOS SOCIALES,29/08/2018,Resolución de 1 de agosto de 2018, del Instituto de Mayores y Servicios Sociales, por la que se convoca la concesión de subvenciones para personas beneficiarias de centros estatales para personas con discapacidad cuya titularidad corresponde al Imserso, d,
413328,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,SECRETARÍA DE ESTADO DE COOPERACIÓN INTERNACIONAL,29/08/2018,Resolución de 20 de agosto de 2018 del Secretario de Estado de Cooperación Internacional y para Iberoamérica y el Caribe por la que se convocan las subvenciones para la celebración de congresos, seminarios y jornadas relacionadas con la cooperación al des,
413283,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,SUBSECRETARÍA PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,29/08/2018,Orden de 28 de agosto de 2018 por la que se convoca para 2018 subvenciones entid.TercSector u ONG que desarrollen activ.inter.general consideradas de inter.social en amter.investig.cient. y tecn. de caracter medioambiental,
413278,NO,ESTADO,MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN,SUBSECRETARÍA DE AGRICULTURA, PESCA Y ALIMENTACIÓN,29/08/2018,Orden de 28 de agosto de 2018 por la que se convoca para 2018 subvenciones a entidades Ter.Sector u ONGS que desarrollen activ.de inter.gener.consider.de inter.social en materia de invest.cient y tecnica de carc.medioambiental,
413189,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,SECRETARÍA DE ESTADO DE COOPERACIÓN INTERNACIONAL,28/08/2018,Resolución de 27 de agosto de 2018 de la Secretaría de Estado de Cooperación Internacional y para Iberoamérica y el Caribe, por la que se convoca el Premio Bartolomé de las Casas en su edición de 2018,
413173,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2015-2016 PARTICIPACIÓN EN LAS PLATAFORMAS DE LA FUNDACIÓN BIODIVERSIDAD Y EN PROYECTOS DE CAMBIO CLIMÁTICO,
413172,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2015-2016 PARTICIPACIÓN EN LOS PROYECTOS LIFE + UROGALLO CANTÁBRICO, DESMANIA Y MARCO DE ACCIÓN PRIORITARIA EN RED NATURA 2000,
413170,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2015-2016 PARTICIPACIÓN EN PROYECTOS FINANCIADOS CON FONDOS EUROPEOS: LIFE, FEMP, FSE EN EL NUEVO MARCO DE FINANCIACIÓN EUROPEA 2014-2020 U OTROS FONDOS,
413169,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2015-2016  PARTICIPACIÓN EN EL PROGRAMA DE ACTUACIONES EN LA COSTA,
413168,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2015-2016 PARTICIPACIÓN EN TAREAS DE DIVULGACIÓN E INTEGRACIÓN DE LA BIODIVERSIDAD EN LOS DIFERENTES SECTORES DE LA SOCIEDAD,
413167,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2015-2016  PARTICIPACIÓN EN EL ÁREA DEL PROGRAMA EMPLEAVERDE,
413166,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2015-2016 PARTICIPACIÓN EN EL PROYECTO RED EMPRENDEVERDE DEL PROGRAMA EMPLEAVERDE,
413165,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2015-2016 PARTICIPACION EN EL GABINETE DE COMUNICACIÓN,
413164,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,DIRECCIÓN PROVINCIAL DEL SEPE DE GRANADA,28/08/2018,PROGRAMA DE FOMENTO DE EMPLEO AGRARIO. GARANTÍA DE RENTAS 2018.(ORDINARIO),
413163,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2015-2016 PARTICIPACION EN EL GABINETE DE COMUNICACIÓN,
413162,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2015-2016 PARTICIPACION EN DISTINTAS ÁREAS TÉCNICAS Y EN EL GABINETE DE COMUNICACIÓN,
413161,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2015-2016 PARTICIPACIÓN EN EL ÁREA DE PESCA Y ACUICULTURA SOSTENIBLE,
413160,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2015-2016 PARTICIPACIÓN EN EL ÁREA JURÍDICA,
413159,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2015-2016 PARTICIPACIÓN EN EL ÁREA JURÍDICA,
413157,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2015-2016 PARTICIPACIÓN EN EL ÁREA JURÍDICA,
413156,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2015-2016 PARTICIPACIÓN EN EL PROYECTO LIFE+INDEMARES,
413143,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,28/08/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria IBC 2018 - Amsterdam (Países Bajos) - 14 al 18 de septiembre,
413139,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,28/08/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria FRUIT ATTRACTION 2018 - Madrid (España) - 23 al 25 de octubre,
413136,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,DESIERTA Convocatoria de becas de Formación para titulados superiores 2014-2015 Convocatoria de becas de Formación para titulados superiores 2014-2015 PARTICIPACIÓN EN EL ÁREA DE ASESORÍA JURÍDICA,
413135,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,28/08/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria COTERIE, EDIT, D&A, STITCH, CAPSULE, WOMAN NY -Nueva York-16 al 18/09/2018,
413134,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2014-2015 PARTICIPACIÓN EN EL ÁREA DE ASESORÍA JURÍDICA,
413133,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,28/08/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas  para la participación agrupada en la Feria PITTI UOMO II - Florencia (Italia) - 11 al 16 de junio de 2018,
413132,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2014-2015 PARTICIPACIÓN EN EL GABINETE DE COMUNICACIÓN,
413131,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,28/08/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria MODE CITY - París (Francia) - 7 al 9 de julio de 2018,
413130,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,28/08/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria PANORAMA, PREMIUM, SEEK, BRIGHT - Berlín (Alemania) - 3 al 5 de julio de 2018,
413129,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,28/08/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la participación agrupada en PURE LONDON, MODA UK  Y SCOOP II - Londres (Reino Unido)  -  22 al 24 de julio de 2018,
413125,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,28/08/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en el salón WHOS NEXT - París, 7  11 septiembre 2018,
413123,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,DESIERTA Convocatoria de becas de Formación para titulados superiores 2014-2015 DESIERTA Convocatoria de becas de Formación para titulados superiores 2014-2015 PARTICIPACIÓN EN EL ÁREA DE INFORMÁTICA,
413118,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,DESIERTA Convocatoria de becas de Formación para titulados superiores 2014-2015 PARTICIPACIÓN EN EL ÁREA DE INFORMÁTICA,
413117,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2014-2015 PARTICIPACIÓN EN EL ÁREA DE ASESORÍA JURÍDICA,
413115,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2014-2015 PARTICIPACIÓN ECONÓMICA EN LAS DIFERENTES ÁREAS TÉCNICAS DE LA FUNDACIÓN,
413114,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,Convocatoria de becas de Formación para titulados superiores 2014-2015 PARTICIPACIÓN EN LAS PLATAFORMAS DE LA FUNDACIÓN BIODIVERSIDAD Y EN PROYECTOS DE CAMBIO CLIMÁTICO,
413112,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,BECA DE FORMACION PARA TITULADOS SUPERIORES PARTICIPACIÓN EN PROYECTOS FINANCIADOS CON FONDOS EUROPEOS: FEP, LIFE, FSE, NUEVO MARCO DE FINANCIACIÓN EUROPEA 2014-2020 OTROS,
413106,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,28/08/2018,BECA DE FORMACIÓN PARA TITULADOS SUPERIORES PARTICIPACIÓN EN EL ÁREA DEL PROGRAMA EMPLEAVERDE,
413067,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,27/08/2018,CONVOCATORIA BECAS DE FORMACIÓN PARA TITULADOS SUPERIORES PARTICIPACIÓN EN LOS PROYECTOS LIFE+ Urogallo cantábrico, Desmania y Marco de Acción Prioritaria en Red Natura 2000,
413040,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,27/08/2018,Convocatoria de becas de Formación para titulados superiores 2014-2015 PARTICIPACIÓN EN EL PROYECTO LIFE+INDEMARES,
413025,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,27/08/2018,CONVENIO PARA LA EJECUCIÓN DE ACCIONES DE CONSERVACIÓN Y RECUPERACIÓN DE GALEMYS PIRENAICUS-LIFE+ DESMANIA,
413015,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,DIRECCIÓN GENERAL DE POLÍTICA COMERCIAL,27/08/2018,Orden de 27 de agosto de 2018 por la que se convocan los Premios Nacionales de Comercio Interior 2018,
413006,NO,ESTADO,MINISTERIO DE SANIDAD,DELEGACIÓN DEL GOBIERNO PARA EL PLAN NACIONAL SOBRE DROGAS,27/08/2018,Resolución de 22 de agosto de 2018 de la Secretaría de Estado de Servicios Sociales, por la que se convoca la concesión de ayudas económicas a entidades privadas sin fines de lucro y de ámbito estatal, con cargo al Fondo de Bienes decomisados,
412991,NO,ESTADO,MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030,DIRECCIÓN GENERAL DE DIVERSIDAD FAMILIAR Y SERVICIOS SOCIALES,27/08/2018,Subvención Nominativa aL FORO ESPAÑOL DE LA FAMILIA para el sostenimiento económico financiero de su estructura central LPGE 2018,
412988,NO,ESTADO,MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030,DIRECCIÓN GENERAL DE DIVERSIDAD FAMILIAR Y SERVICIOS SOCIALES,27/08/2018,Subvención Nominativa a LA FEDERACIÓN ESPAÑOLA DE PUNTOS DE ENUENTRO PARA EL DERECHO DE VISITAS para el sostenimiento económico financiero de su estructura central LPGE 2018,
412987,NO,ESTADO,MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030,DIRECCIÓN GENERAL DE DIVERSIDAD FAMILIAR Y SERVICIOS SOCIALES,27/08/2018,Subvención Nominativa a LA FEDERACIÓN ESPAÑOLA DE FAMILIAS NUMEROSAS para el sostenimiento económico financiero de su estructura central LPGE 2018,
412984,NO,ESTADO,MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030,DIRECCIÓN GENERAL DE DIVERSIDAD FAMILIAR Y SERVICIOS SOCIALES,27/08/2018,Subvención Nominativa a CONFEDERACIÓN CATÓLICA NACIONAL DE PADRES DE FAMILIA Y PADRES DE ALUMNOS para el sostenimiento económico financiero de su estructura central LPGE 2018,
