Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
489769,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la JTEC A MÉXICO DEL SECTOR DE LA MÚSICA - Guadalajara (México) - 27 al 30 de mayo 2020,
489761,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la MDIR A NIGERIA - 14 al 17 de septiembre 2020,
489752,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,ADENDA+Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la MDIR A AUSTRALIA (NUEVA ZELANDA no) - 27 a 30 junio 2020,
489746,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria INTERIOR LIFESTYLE TOKYO - Tokio (Japón) - 3 al 5 de junio 2020,
489739,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,ADENDA+Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria COSMOPROF NORTH AMERICA 2020 - Las Vegas (EEUU) 20 a 22 sept. 2020,
489703,NO,ESTADO,MINISTERIO DE JUVENTUD E INFANCIA,INSTITUTO DE LA JUVENTUD,30/12/2019,RESOLUCIÓN DE 27 DE DICIEMBRE DE 2019, DEL INSTITUTO DE LA JUVENTUD, POR LA QUE SE CONVOCAN MEDIANTE TRAMITACIÓN ANTICIPADA LAS SUBVENCIONES EN EL MARCO DEL CAPÍTULO DE JUVENTUD DEL PROGRAMA ERASMUS+ PARA EL AÑO 2020,
489683,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental 2019 Cruz Roja Colombiana Ayuda Humanitaria de Emergencia para la población migrante de Cúcuta y su,
489682,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental ARAUCLIMA 2019 seguridad alimentaria ICC adaptación cambio climático,
489681,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Ecuador 2019 Desarrollo económico MNE CD Frontera Norte,
489680,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Guinea Ecuatorial 2019 Género Sensibilización contra la violencia machista a través del teatro,
489679,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental INTERCOONECTA 2019. CLAD. XXV Congreso Internacional 2020 del CLAD,
489678,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Mauritania 2019. Desarrollo Rural/Seguridad alimentaria huertos periurbanos,
489677,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental EUROCLIMA+ 2019 Agua Dirección Nacional de Aguas gestión integrada de las aguas Uruguay,
489676,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Mauritania 2019 Salud Formación de medicos especialistas fase I,
489675,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Costa Rica 2019 Programa Cooperación Triangular Ministerio de Relaciones Exteriores y Culto,
489674,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Ecuador 2019 Agro Altropico CD Frontera Norte,
489673,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Ecuador 2019 Agua y Saneamiento FEPP CD Frontera Norte,
489672,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Jordania 2019 Gobernabilidad Partners Jordan ortalecimiento de la sociedad civil de los municipios,
489671,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Ecuador 2019 CD Frontera Norte Escuela Taller San Lorenzo Vicariato Apostólico de Esmeraldas,
489670,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Ecuador 2019 Agua y saneamiento PROTOS CD Frontera Norte,
489669,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Jordania 2019 Gobernabilidad Al Hayat Consultancy for Develomment Research,
