Administración,Administraci�n,Código BDNS,C�digo BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Mecanismo de Recuperaci�n y Resiliencia,Título cooficial,Título de la convocatoria,T�tulo cooficial,T�tulo de la convocatoria,Órgano,�rgano
ESTADO,,2013200420101301,,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,22/01/2014,NO,,,CONVOCATORIA DEL PREMIO NACIONAL DE INGENIERIA CIVIL,,,SUBSECRETARÍA DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,
ESTADO,,2013200820101201,,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,22/01/2014,NO,,,SUBVENCION NOMINATIVA A LA ASOCIACION DE PADRES DE LA GUARDERIA JARDIN DE INFANCIA DEL MOPU,,,SUBSECRETARÍA DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,
ESTADO,,2013200824201601,,MINISTERIO DE CULTURA,30/01/2014,NO,,,Convenio con la Diputación Provincial de Pontevedra para la adquisición del equipamiento y la instalación de la colección permanente del Museo de Pontevedra,,,OA GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA,
ESTADO,,2013200924201901,,MINISTERIO DE CULTURA,31/01/2014,NO,,,"Convenio con la Diputación Provincial de Pontevedra para proyecto de accesibilidad, iluminación y seguridad de las salas de exposiciones de la colección permanente del Museo de Pontevedra",,,OA GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA,
ESTADO,,2013200924202101,,MINISTERIO DE CULTURA,31/01/2014,NO,,,"Addenda al Convenio con la Diputación Provincial de Pontevedra para proyecto de accesibilidad, iluminación y seguridad de las salas de exposiciones de la colección permanente del Museo de Pontevedra",,,OA GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA,
ESTADO,,2013201020101101,,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,22/01/2014,NO,,,SUBVENCION NOMINATIVA A LA ASOCIACION RECREATIVO CULTURAL DEL MINISTERIO DE FOMENTO,,,SUBSECRETARÍA DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,
ESTADO,,2013201024202401,,MINISTERIO DE CULTURA,28/01/2014,NO,,,"Convenio con la Sociedad Cervantina para la recreación de la imprenta de Juan de la Cuesta, en Madrid",,,OA GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA,
ESTADO,,2013201024202501,,MINISTERIO DE CULTURA,29/01/2014,NO,,,Convenio con el ayuntamiento de Jerez de la Frontera (Cádiz) para la construcción de la Ciudad del Flamenco,,,OA GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA,
ESTADO,,2013201024202701,,MINISTERIO DE CULTURA,27/01/2014,NO,,,Convenio pata la concesión de una subvención nominativa entre la Gerencia de Infraestructuras y Equipamientos de Cultura y el ayuntamiento de Hostalets de Pierola para el Centre d'interpretació paleontológica,,,OA GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA,
ESTADO,,2013201024202801,,MINISTERIO DE CULTURA,29/01/2014,NO,,,Convenio para la concesión de una subvención nominativa a la Diputación provincial de Cádiz para la ejecución del proyecto museográfico del Museo Arqueológico de Jerez de la Frontera,,,OA GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA,
