Convocante,Convocatoria,Código BDNS,Reglamento,Objetivos,Instrumento de ayuda,Tipo de empresa,Fecha de concesión,Código concesión,Fecha de registro,Beneficiario,Importe nominal,Elemento de ayuda,Región concesión,Sector actividad,Referencia medida
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370796,17/02/2023,"B86349065 - GESTENENCIA, S.L.",1635100.8,1635100.8,ES705 - Gran Canaria,55.1 - Hoteles y alojamientos similares,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,GRAN EMPRESA,14/12/2022,SB81370797,17/02/2023,"B76628361 - BIOMCA QUIMICA, S.L.",2687442.12,2687442.12,ES705 - Gran Canaria,55.1 - Hoteles y alojamientos similares,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370800,17/02/2023,"A09044041 - GALLETAS ANGULO, S.A.",270000,270000,ES412 - Burgos,10.7 - Fabricación de productos de panadería y pastas alimenticias,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370804,17/02/2023,"B02655470 - VIVUNT PHARMA, S.L.",1782290.2,1782290.2,ES413 - León,21.2 - Fabricación de especialidades farmacéuticas,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370805,17/02/2023,"B40260176 - BIO AMMO, S.L.",608945.4,608945.4,ES416 - Segovia,22.2 - Fabricación de productos de plástico,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370808,17/02/2023,"B75230771 - LEKU ONA ENERGY, S.L.",750789.54,750789.54,ES417 - Soria,32.9 - Industrias manufactureras n.c.o.p.,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370809,17/02/2023,"B63001648 - SARRIÓ PAPELERA DE ALMAZÁN, S.L.U.",540722.88,540722.88,ES417 - Soria,"17.1 - Fabricación de pasta papelera, papel y cartón",SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,,14/12/2022,SB81370812,17/02/2023,"A47053228 - PLASTICOS RECA, S.A.",166325.82,166325.82,ES418 - Valladolid,,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370813,17/02/2023,"A54802020 - CATRAL GARDEN & HOME DEPOT, S.A.",266032.5,266032.5,ES521 - Alicante / Alacant,22.2 - Fabricación de productos de plástico,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,,14/12/2022,SB81370814,17/02/2023,"B03434198 - PLASTICOS INDEN, S.L.",150294.6,150294.6,ES521 - Alicante / Alacant,,SA.41932
