Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
838130,NO,VALENCIA,AYUNTAMIENTO DE VALENCIA,,06/06/2025,CONVOCATORIA SUBVENCION MUNICIPAL A LA INVERSION PARA EL EMPRENDIMIENTO REGLAMENTO GENERAL,
838129,NO,VALENCIA,AYUNTAMIENTO DE VALENCIA,,06/06/2025,SUBVENCIÓN MUNICIPAL A LA INVERSIÓN PARA EL EMPRENDIMIENTO. REGLAMENTO AGRÍCOLA,
838126,NO,ZARAGOZA,AYUNTAMIENTO DE ZARAGOZA,,06/06/2025,CONVENIO ACISJF IN VIA: VIVIENDA Y MUJER,
838125,NO,"MASNOU, EL","AYUNTAMIENTO DE MASNOU, EL",,06/06/2025,Convenio regulador subvención nominativa Colla de Geganters del Masnou para 2025,Conveni regulador de la subvenció nominativa entre l¿Ajuntament del Masnou i la Colla de Geganters del Masnou per a la promoció i difusió de la cultura i les tradicions populars al Masnou per al 2025
838124,NO,CANTORIA,AYUNTAMIENTO DE CANTORIA,,06/06/2025,SUBVENCION COMPETICION DE MOTOS,
838119,NO,FUENGIROLA,AYUNTAMIENTO DE FUENGIROLA,,06/06/2025,CONCESIÓN DE SUBVENCIÓN POR EL AYUNTAMIENTO DE FUENGIROLA A LA PEÑA RECREATIVA BOLICHERA DE FUENGIROLA EN EL EJERCICIO 2025,
838117,NO,ANTEQUERA,EXCMO. AYUNTAMIENTO DE ANTEQUERA,,06/06/2025,"CONCESIÓN DE SUBVENCIÓN DIRECTA NOMINATIVA A  LA REAL ARCHICOFRADIA DE NTRO. PADRE JESUS NAZARENO DE LA  SANGRE, STMO. CRISTO VERDE Y NTRA. SRA. DE LA VERACRUZ DE  ANTEQUERA - PROCESIÓN TRONOS CHICOS 2025",
838112,NO,GIRONA,AYUNTAMIENTO DE GIRONA,,06/06/2025,"Rally Costa Brava, edición 2025","Rally Costa Brava, edició 2025"
838109,NO,FUENGIROLA,AYUNTAMIENTO DE FUENGIROLA,,06/06/2025,CONCESIÓN DE SUBVENCIÓN POR EL AYUNTAMIENTO DE FUENGIROLA A LA PEÑA FLAMENCA UNIÓN DEL CANTE DE FUENGIROLA EN EL EJERCICIO 2025,
838108,NO,PICASSENT,AYUNTAMIENTO DE PICASSENT,,06/06/2025,CONCESIÓN SUBVENCIÓN A GRUPO DE RECREACIÓN DEPORTIVA PICASSENT CORRE 2025,
838105,NO,VENTA DE BAÑOS,AYUNTAMIENTO DE VENTA DE BAÑOS,,06/06/2025,CONVOCATORIA DE SUBVENCIONES PARA LA REALIZACIÓN DE REVISTAS O PROYECTOS EDUCATIVOS EN LOS COLEGIOS PÚBLICOS DE EDUCACIÓN INFANTIL Y PRIMARIA DE VENTA DE BAÑOS.,
838104,NO,BORRIOL,AYUNTAMIENTO DE BORRIOL,,06/06/2025,Convocatoria y bases para la concesión de subvenciones  de ayudas  a la familia e infancia en periodo estival,
838103,NO,PALAFRUGELL,AYUNTAMIENTO DE PALAFRUGELL,,06/06/2025,Convocatoria de subvenciones a familias monoparentales 2025,Convocatòria de subvencions a famílies monoparentals 2025
838102,NO,GÜÍMAR,AYUNTAMIENTO DE GÜÍMAR,,06/06/2025,BASES REGULADORAS DE LA CONVOCATORIA DE AYUDAS MUNICIPALES PARA FACILITAR QUE LOS VECINOS DE GÜÍMAR PUEDAN ACOPLAR SUS VIVIENDAS A LAS REDES DE SANEAMIENTO PÚBLICO 2025 (Viviendas Individuales),
838101,NO,GIRONA,AYUNTAMIENTO DE GIRONA,,06/06/2025,Girona actua 2025,Girona actua 2025
838099,NO,DOS HERMANAS,AYUNTAMIENTO DE DOS HERMANAS,,06/06/2025,PRÓRROGA CONVENIO ASAENES 2025,
838098,NO,MULA,AYUNTAMIENTO DE MULA,,06/06/2025,CONVENIO DE COLABORACIÓN PARA LA SUBVENCIÓN A FAVOR DE LA PEÑA LOS MULEÑICOS POR SUS ACTIVIDADES DE INTERÉS SOCIAL EN EL MUNICIPIO.,
838097,NO,PALAFRUGELL,AYUNTAMIENTO DE PALAFRUGELL,,06/06/2025,Convocatoria 8.º premio de fotografía Palafrugell es educación 2025,Convocatoria 8è premi de fotografia Palafrugell és educació 2025
838096,NO,RUBÍ,AYUNTAMIENTO DE RUBÍ,,06/06/2025,LÍNIA 2.3E- Projectes d`inclusió social de persones en situació de vulnerabilitat o dificultats socials,
838094,NO,XÀTIVA,AYUNTAMIENTO DE XÀTIVA,,06/06/2025,Convocatoria de los V Premis a l'Ús del Valencià en el Comerç Local de Xàtiva,Convocatòria dels V Premis a l'Ús del Valencià en el Comerç Local de Xàtiva
838092,NO,TARRAGONA,AYUNTAMIENTO DE TARRAGONA,,06/06/2025,"Subvención nominativa a la entidad LA MAR BLAVA FUNDACIÓ PRIVADA para el desarrollo del “Casal d’estiu adaptat”, año 2025","Subvenció nominativa a l’entitat LA MAR BLAVA FUNDACIÓ PRIVADA per al desenvolupament del “Casal d’estiu adaptat”, any 2025"
838091,NO,RUBÍ,AYUNTAMIENTO DE RUBÍ,,06/06/2025,Línia 3.3G- Activitats de promoció i difusió de la cultura tradicional i popular catalana.,
838090,NO,CREVILLENT,AYUNTAMIENTO DE CREVILLENT,,06/06/2025,NORMAS POR LAS QUE EL AYUNTAMIENTO DE CREVILLENT CONCEDE BECAS O AYUDAS DE LIBROS INDIVIDUALES PARA EL ALUMNADO DE LA ETAPA DE EDUCACIÓN INFANTIL  EN EL CURSO ESCOLAR 2025/2026 EN CENTROS PÚBLICOS Y CONCERTADOS,
838087,NO,UTIEL,AYUNTAMIENTO DE UTIEL,,06/06/2025,"Resolución de Alcaldía nº 1261 de 05 de junio de 2025 de la convocatoria para la concesión de cuatro becas de formación para el año 2025 ""UTIEL JO-B 2025""",
838085,NO,RUBÍ,AYUNTAMIENTO DE RUBÍ,,06/06/2025,LÍNIA 3.3P- ACTIVITATS EN ÀMBITS D`ACTUACIÓ DEL PLA LOCAL DE JOVENTUT,
838082,NO,CASTELLTERÇOL,AYUNTAMIENTO DE CASTELLTERÇOL,,06/06/2025,SUBVENCIÓN NOMINATIVA ASOCIACIÓN DIABLES DE CASTELLTERÇOL,
838081,NO,SANTIAGO DE COMPOSTELA,AYUNTAMIENTO DE SANTIAGO DE COMPOSTELA,,06/06/2025,"CONVOCATORIA BOLSAS COMEDOR, ACTIVIDADES E MATERIAL CURSO 2025-2026",
838079,NO,ALMENDRALEJO,AYUNTAMIENTO DE ALMENDRALEJO,,06/06/2025,RESOLUCIÓN DE ALCALDE-PRESIDENTE DEL AYUNTAMIENTO DE ALMENDRALEJO DE 5 DE JUNIO DE 2025 POR LA QUE SE APRUEBA LA CONCESIÓN DE SUBVENCIÓN DIRECTA CON CARÁCTER NOMINATIVO A FAVOR DE LA ASOCIACIÓN DE AYUDA A PERSONAS CON ENFERMEDAD MENTAL Y FAMILIAS ADAFEMA,
838077,NO,BERMEO,AYUNTAMIENTO DE BERMEO,,06/06/2025,Convocatoria de subvenciones para el año 2025 para la preparación y consecución del carnet de conducir en Euskera,"Bermeon, 2025. urtean gidabaimena euskaraz prestatzeko eta ateratzeko dirulaguntzaren deialdia."
838076,NO,DOS HERMANAS,AYUNTAMIENTO DE DOS HERMANAS,,06/06/2025,PRÓRROGA CONVENIO ANIDI 2025,
838075,NO,RUBÍ,AYUNTAMIENTO DE RUBÍ,,06/06/2025,LÍNIA 9.2C- ACTIVITATS DE SENSIBILITZACIÓ I EDUCACIÓ PER A LA CIUTADANIA GLOBAL,
838074,NO,ZARAGOZA,AYUNTAMIENTO DE ZARAGOZA,,06/06/2025,CONVENIO ATENCIÓN INFANCIA HIJAS DE LA CARIDAD (LA ALDEA),
838072,NO,CAMPEZO/KANPEZU,AYUNTAMIENTO DE CAMPEZO/KANPEZU,,06/06/2025,Convocatoria de subvenciones para el fomento de la natalidad año 2025,2025.urtean jaiotze-tasa sustatzeko dirulaguntzen deialdia
838071,NO,HUELVA,AYUNTAMIENTO DE HUELVA,,06/06/2025,CONVENIO DE COLABORACION ENTRE EL EXCMO. AYUNTAMIENTO DE HUELVA Y EL BANCO DE ALIMENTOS DE HUELVA 2025,
838070,NO,DOS HERMANAS,AYUNTAMIENTO DE DOS HERMANAS,,06/06/2025,SUBVENCIÓN SEGÚN PRÓRROGA CONVENIO CON AFINA 2025,
838062,NO,PALAFRUGELL,AYUNTAMIENTO DE PALAFRUGELL,,06/06/2025,Convocatoria de subvenciones a pensionistas para gastos de vivienda año 2024,Convocatòria de subvencions a pensionistes per a despeses de vivenda any 2024
838061,NO,MONTILLA,AYUNTAMIENTO DE MONTILLA,,06/06/2025,SUBVENCION NOMINATIVA 2025 - GRUPO ROMERO VIRGEN VIÑAS Y AMIGOS DEL CABALLO,
838059,NO,HUELVA,AYUNTAMIENTO DE HUELVA,,06/06/2025,Convenio de colaboración entre el Excmo. Ayuntamiento de Huelva y la FUNDACIÓN DOCENTE MARIA INMACULADA 2025,
838058,NO,ZARAGOZA,AYUNTAMIENTO DE ZARAGOZA,,06/06/2025,Convenio CÁRITAS - PROYECTO FOGARAL,
838056,NO,MULA,AYUNTAMIENTO DE MULA,,06/06/2025,CONVENIO DE COLABORACIÓN PARA LA SUBVENCIÓN A FAVOR DE ACOHOMUL PARA EL DESARROLLO DE SUS ACTIVIDADES DE INTERÉS SOCIAL EN EL MUNICIPIO,
838055,NO,ALBACETE,AYUNTAMIENTO DE ALBACETE,,06/06/2025,Convocatoria 2025 de subvenciones para el impulso local a la microempresa,
838054,NO,RUBÍ,AYUNTAMIENTO DE RUBÍ,,06/06/2025,Línia 3.3D-Activitats de creació i difusió musical.,
838052,NO,MONTORNÈS DEL VALLÈS,AYUNTAMIENTO DE MONTORNÈS DEL VALLÈS,,06/06/2025,Convocatoria para proyectos y actividades de interés público de diversidad funcional para el 2025,
838051,NO,RUBÍ,AYUNTAMIENTO DE RUBÍ,,06/06/2025,Activitats i projectes de conscienciació i sensibilització ciutadana sobre aspectes ambientals i altres bones pràctiques.,
838048,NO,AGÜIMES,AYUNTAMIENTO DE AGÜIMES,,06/06/2025,Convocatoria Subvención Gull Lasegue 2025,
838047,NO,AGÜIMES,AYUNTAMIENTO DE AGÜIMES,,06/06/2025,Convocatoria Subvención nominada AFESUR 2025,
838046,NO,BENAVENTE,AYUNTAMIENTO DE BENAVENTE,,06/06/2025,SUBVENCIÓN ADQUISICIÓN LIBROS DE TEXTO 2º CICLO INFANTIL MANUEL PAINO,
838045,NO,MULA,AYUNTAMIENTO DE MULA,,06/06/2025,SUBVENCIÓN XVIII ENCUENTRO DE CUADRILLAS DE FUENTE LIBRILLA,
838043,NO,RUBÍ,AYUNTAMIENTO DE RUBÍ,,06/06/2025,Línia 3.3E- Activitats de creació i difusió d`arts escèniques.,
838042,NO,MONTORNÈS DEL VALLÈS,AYUNTAMIENTO DE MONTORNÈS DEL VALLÈS,,06/06/2025,Convocatoria para proyectos y actividades de interés público de igualdad de género 2025,
838039,NO,ANTEQUERA,EXCMO. AYUNTAMIENTO DE ANTEQUERA,,06/06/2025,CONCESIÓN SUBVENCION DIRECTA NOMINATIVA PLATAFORMA ANTEQUERA SOLIDARIA - CASA DE ACOGIDA PARA MUJERES CON HIJOS/AS EN SITUACIÓN DE EXCLUSIÓN SOCIO RESIDENCIAL Y PROGRAMA MATERIAL ESCOLAR Y JUGUETES,
838032,NO,AGÜIMES,AYUNTAMIENTO DE AGÜIMES,,06/06/2025,Convocatoria Subvención RADIO ECCA 2025,
838031,NO,ADEJE,AYUNTAMIENTO DE ADEJE,,06/06/2025,"Subvención nominativa a la ASOC. COMISIÓN DE FIESTAS del BARRIO DE LOS MENORES para realización del proyecto ""Fiestas de Los Menores 2024""",
838030,NO,ESPARREGUERA,AYUNTAMIENTO DE ESPARREGUERA,,06/06/2025,CONVOCATORIA CONCURS DE PINTURA RAPIDA 2025 - CATEGORIA JOVE,
838029,NO,VALVERDE,AYUNTAMIENTO DE VALVERDE,,06/06/2025,Bases reguladoras del concurso de escaparates con motivo de La Bajada Virgen de Los Reyes 2025,
838027,NO,ARGENTONA,AYUNTAMIENTO DE ARGENTONA,,06/06/2025,SUBVENCIÓN NOMINATIVA POR CONVENIO CON ENTIDAD AEM 2025,
838025,NO,ADEJE,AYUNTAMIENTO DE ADEJE,,06/06/2025,"Subvención nominativa a la entidad NEW EVENT EVENTOS Y GESTION CULTURAL SL para el desarrollo del proyecto ""Camilo Europa Tour 2024""",
